FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-588d,"MULTILINESTRING ((-38.54139689897746 -3.8055080565879473, -38.542183660705625 -3.8079162868481857))",44,Galeria,Drenagem geral,280.273,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-588b,"MULTILINESTRING ((-38.54218366070562 -3.8079162868481853, -38.54225160447691 -3.80789122876518))",45,Galeria,Drenagem geral,8.039,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-588a,"MULTILINESTRING ((-38.60577787882922 -3.790658941569447, -38.60527842483401 -3.7907544496010575))",46,Galeria,Drenagem geral,56.474,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5888,"MULTILINESTRING ((-38.60577787882922 -3.790658941569447, -38.606342906786594 -3.790512696590649))",47,Galeria,Drenagem geral,64.812,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5887,"MULTILINESTRING ((-38.606342906786594 -3.790512696590649, -38.60642411779277 -3.7904446774328915))",48,Galeria,Drenagem geral,11.745,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5885,"MULTILINESTRING ((-38.60642411779277 -3.7904446774328915, -38.606509864607226 -3.7904254470638445))",49,Galeria,Drenagem geral,9.759,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5883,"MULTILINESTRING ((-38.606509864607226 -3.7904254470638445, -38.60718779031695 -3.790213409503428))",50,Galeria,Drenagem geral,78.868,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5880,"MULTILINESTRING ((-38.609014546171856 -3.789610632902747, -38.60950433739185 -3.7894617217646567))",51,Galeria,Drenagem geral,56.842,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-587f,"MULTILINESTRING ((-38.60950433739185 -3.7894617217646567, -38.60998062835163 -3.789311258086773))",52,Galeria,Drenagem geral,55.46,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-587d,"MULTILINESTRING ((-38.60998062835163 -3.789311258086773, -38.61049647748078 -3.7891452979699003))",53,Galeria,Drenagem geral,60.166,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-587c,"MULTILINESTRING ((-38.61049647748078 -3.7891452979699003, -38.61117865724493 -3.7889058990073465))",54,Galeria,Drenagem geral,80.266,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
